id,"person_id",gender,education,race,age,income,iri_perspective_taking,iri_personal_distress,iri_fantasy,iri_empathatic_concern,personality_openess,personality_conscientiousness,personality_extraversion,personality_agreeableness,personality_stability
65,"p065",1,7,5,41,64000,3.5714285714285716,2.142857142857143,3.4285714285714284,3.7142857142857144,6.5,6,4,4,5
66,"p066",1,6,1,32,15000,3.2857142857142856,2.2857142857142856,3.857142857142857,3.857142857142857,6,5.5,2.5,6.5,6
67,"p067",1,6,1,30,5000,3.4285714285714284,2.857142857142857,3.4285714285714284,2.142857142857143,5.5,3.5,1.5,3.5,4
68,"p068",2,3,1,27,25000,4,2.2857142857142856,3.5714285714285716,3.7142857142857144,6,6,6,6,6
69,"p069",1,6,1,32,50000,3.5714285714285716,3.7142857142857144,2.2857142857142856,2.7142857142857144,4,4.5,4,5,3.5
70,"p070",2,7,5,44,70000,3.7142857142857144,2.4285714285714284,4.857142857142857,4.571428571428571,7,4.5,1.5,7,1.5
71,"p071",1,4,1,19,40000,3,2.7142857142857144,3,2.7142857142857144,4,6,1.5,6,6
72,"p072",1,2,2,20,36000,2.4285714285714284,1.7142857142857142,2.857142857142857,1.4285714285714286,6,6,3,2.5,5.5
73,"p073",2,6,1,47,110000,5,2.142857142857143,3.5714285714285716,5,6.5,7,4.5,5.5,7
74,"p074",2,6,2,28,35000,4.142857142857143,1.7142857142857142,2,3.2857142857142856,5,4.5,1.5,5.5,5.5
