id,conversation_id,article_id,"person_id_1",this_persons_perceived_empathy_of_other_person
482,482,292,"p035",6
483,483,292,"p035",7
484,484,292,"p068",7
485,485,292,"p030",6
486,486,395,"p000",7
487,487,395,"p010",7
488,488,395,"p031",5
489,489,395,"p020",7
490,490,395,"p030",7
491,491,218,"p068",5
492,492,218,"p010",7
493,493,218,"p035",7
494,494,218,"p019",7
495,495,218,"p010",7
496,496,103,"p031",7
497,497,103,"p016",5
498,498,103,"p035",6
499,499,103,"p029",7
500,500,103,"p022",5
501,1,35,"p012",7
502,2,35,"p022",7
503,3,35,"p020",5
504,4,35,"p071",7
505,5,35,"p010",7
506,6,213,"p030",6
507,7,213,"p068",5
508,8,213,"p054",7
509,9,213,"p022",7
510,10,213,"p039",7
511,11,78,"p039",7
512,12,78,"p062",6
513,13,78,"p068",7
514,14,78,"p030",6
515,15,78,"p019",5
516,16,336,"p035",7
517,17,336,"p023",5
518,18,336,"p074",2
519,19,336,"p035",7
520,20,336,"p019",5
521,21,281,"p041",6
522,22,281,"p035",6
523,23,281,"p059",7
524,24,281,"p050",7
525,25,281,"p010",7
526,26,171,"p030",7
527,27,171,"p005",7
528,28,171,"p043",7
529,29,171,"p019",6
530,30,171,"p030",4
531,31,386,"p013",7
532,32,386,"p005",6
533,33,386,"p024",5
534,34,386,"p062",7
535,35,386,"p022",7
536,36,58,"p032",7
537,37,58,"p015",1
538,38,58,"p039",7
539,39,58,"p029",6
540,40,58,"p022",7
541,41,289,"p002",7
542,42,289,"p034",7
543,43,289,"p050",7
544,44,289,"p050",6
545,45,289,"p039",7
546,46,210,"p024",7
547,47,210,"p035",7
548,48,210,"p035",6
549,49,210,"p020",7
550,50,210,"p024",7
551,51,49,"p061",5
552,52,49,"p074",6
553,53,49,"p009",6
554,54,49,"p005",5
555,55,49,"p016",5
556,56,72,"p041",3
557,57,72,"p043",7
558,58,72,"p058",7
559,59,72,"p019",7
560,60,72,"p010",6
561,61,150,"p055",7
562,62,150,"p002",7
563,63,150,"p024",7
564,64,150,"p013",7
565,65,150,"p022",7
566,66,138,"p024",7
567,67,138,"p035",7
568,68,138,"p006",7
569,69,138,"p029",7
570,70,138,"p010",7
571,71,3,"p037",6
572,72,3,"p043",7
573,73,3,"p035",5
574,74,3,"p055",5
575,75,3,"p035",7
576,76,169,"p030",2
577,77,169,"p013",4
578,78,169,"p070",7
579,79,169,"p037",6
580,80,169,"p010",6
581,81,353,"p029",7
582,82,353,"p041",5
583,83,353,"p005",4
584,84,353,"p024",7
585,85,353,"p062",4
586,86,304,"p043",7
587,87,304,"p007",7
588,88,304,"p029",6
589,89,304,"p022",7
590,90,304,"p050",7
591,91,233,"p005",6
592,92,233,"p043",7
593,93,233,"p007",6
594,94,233,"p063",5
595,95,233,"p038",7
596,96,57,"p043",7
597,97,57,"p024",7
598,98,57,"p050",6
599,99,57,"p050",7
600,100,57,"p010",7
601,101,67,"p007",6
602,102,67,"p005",4
603,103,67,"p050",7
604,104,67,"p043",7
605,105,67,"p068",7
606,106,134,"p007",7
607,107,134,"p055",7
608,108,134,"p038",1
609,109,134,"p014",5
610,110,134,"p029",6
611,111,45,"p035",3
612,112,45,"p024",7
613,113,45,"p022",1
614,114,45,"p030",4
615,115,45,"p038",7
616,116,9,"p055",5
617,117,9,"p001",7
618,118,9,"p050",7
619,119,9,"p022",7
620,120,9,"p009",6
621,121,6,"p007",7
622,122,6,"p029",7
623,123,6,"p059",4
624,124,6,"p030",1
625,125,6,"p057",7
626,126,314,"p050",6
627,127,314,"p035",7
628,128,314,"p062",4
629,129,314,"p030",5
630,130,314,"p057",7
631,131,73,"p038",1
632,132,73,"p022",5
633,133,73,"p050",7
634,134,73,"p063",3
635,135,73,"p010",7
636,136,99,"p030",5
637,137,99,"p043",7
638,138,99,"p050",6
639,139,99,"p024",7
640,140,99,"p038",7
641,141,94,"p062",2
642,142,94,"p002",7
643,143,94,"p007",7
644,144,94,"p043",7
645,145,94,"p024",7
646,146,147,"p007",7
647,147,147,"p050",7
648,148,147,"p038",1
649,149,147,"p062",5
650,150,147,"p043",7
651,151,125,"p057",7
652,152,125,"p030",6
653,153,125,"p024",7
654,154,125,"p050",7
655,155,125,"p016",5
656,156,302,"p050",7
657,157,302,"p001",7
658,158,302,"p041",6
659,159,302,"p068",6
660,160,302,"p030",6
661,161,375,"p063",6
662,162,375,"p050",7
663,163,375,"p041",3
664,164,375,"p043",7
665,165,375,"p062",4
666,166,228,"p043",7
667,167,228,"p062",5
668,168,228,"p024",7
669,169,228,"p035",7
670,170,228,"p001",7
671,171,400,"p062",6
672,172,400,"p055",7
673,173,400,"p043",7
674,174,400,"p050",7
675,175,400,"p005",5
676,176,283,"p029",5
677,177,283,"p002",7
678,178,283,"p007",7
679,179,283,"p073",7
680,180,283,"p016",5
681,181,305,"p055",7
682,182,305,"p062",1
683,183,305,"p041",3
684,184,305,"p009",7
685,185,305,"p073",7
686,186,299,"p024",7
687,187,299,"p063",4
688,188,299,"p041",5
689,189,299,"p035",7
690,190,299,"p029",5
691,191,313,"p004",8
692,192,313,"p064",7
693,193,313,"p044",7
694,194,313,"p019",4
695,195,313,"p039",7
696,196,398,"p062",5
697,197,398,"p064",4
698,198,398,"p073",7
699,199,398,"p065",7
700,200,398,"p024",7
701,201,31,"p028",7
702,202,31,"p029",7
703,203,31,"p035",6
704,204,31,"p065",7
705,205,31,"p033",6
706,206,201,"p029",4
707,207,201,"p055",7
708,208,201,"p024",7
709,209,201,"p035",7
710,210,201,"p060",7
711,211,273,"p073",7
712,212,273,"p000",6
713,213,273,"p039",5
714,214,273,"p029",5
715,215,273,"p068",4
716,216,247,"p062",3
717,217,247,"p024",7
718,218,247,"p049",7
719,219,247,"p006",7
720,220,247,"p060",4
721,221,417,"p062",1
722,222,417,"p064",1
723,223,417,"p028",4
724,224,417,"p044",7
725,225,417,"p039",6
726,226,139,"p033",5
727,227,139,"p029",7
728,228,139,"p030",5
729,229,139,"p009",7
730,230,139,"p068",6
731,231,128,"p062",7
732,232,128,"p061",6
733,233,128,"p063",4
734,234,128,"p019",4
735,235,128,"p068",6
736,236,245,"p033",6
737,237,245,"p035",7
738,238,245,"p073",7
739,239,245,"p063",4
740,240,245,"p068",6
741,241,19,"p030",5
742,242,19,"p035",6
743,243,19,"p029",5
744,244,19,"p009",6
745,245,19,"p068",7
746,246,177,"p029",5
747,247,177,"p030",3
748,248,177,"p035",5
749,249,177,"p020",7
750,250,177,"p048",7
751,251,413,"p062",7
752,252,413,"p024",7
753,253,413,"p014",6
754,254,413,"p035",7
755,255,413,"p029",5
756,256,174,"p062",4
757,257,174,"p030",1
758,258,174,"p064",7
759,259,174,"p073",7
760,260,174,"p058",7
761,261,34,"p058",7
762,262,34,"p030",6
763,263,34,"p024",7
764,264,34,"p031",7
765,265,34,"p020",7
766,266,47,"p030",5
767,267,47,"p024",7
768,268,47,"p035",7
769,269,47,"p068",6
770,270,47,"p048",7
771,271,146,"p035",7
772,272,146,"p062",2
773,273,146,"p028",7
774,274,146,"p058",7
775,275,146,"p024",7
776,276,370,"p064",7
777,277,370,"p035",7
778,278,370,"p035",7
779,279,370,"p029",4
780,280,370,"p068",6
781,281,202,"p035",6
782,282,202,"p022",7
783,283,202,"p029",7
784,284,202,"p024",7
785,285,202,"p022",7
786,286,71,"p062",6
787,287,71,"p024",7
788,288,71,"p029",6
789,289,71,"p009",7
790,290,71,"p024",7
791,291,242,"p062",6
792,292,242,"p024",7
793,293,242,"p073",7
794,294,242,"p030",6
795,295,242,"p019",5
796,296,339,"p024",7
797,297,339,"p063",6
798,298,339,"p029",6
799,299,339,"p039",7
800,300,339,"p031",7
801,301,347,"p068",5
802,302,347,"p036",6
803,303,347,"p048",7
804,304,347,"p035",1
805,305,347,"p024",7
806,306,48,"p011",7
807,307,48,"p035",7
808,308,48,"p008",7
809,309,48,"p066",2
810,310,48,"p048",7
811,311,291,"p022",7
812,312,291,"p067",7
813,313,291,"p062",5
814,314,291,"p010",7
815,315,291,"p067",3
816,316,39,"p024",7
817,317,39,"p068",7
818,318,39,"p016",5
819,319,39,"p030",3
820,320,39,"p048",4
821,321,52,"p022",7
822,322,52,"p030",1
823,323,52,"p073",7
824,324,52,"p054",5
825,325,52,"p024",7
826,326,89,"p024",7
827,327,89,"p068",9
828,328,89,"p010",7
829,329,89,"p022",7
830,330,89,"p022",7
831,331,148,"p024",7
832,332,148,"p030",5
833,333,148,"p022",7
834,334,148,"p035",7
835,335,148,"p010",7
836,336,223,"p031",5
837,337,223,"p047",7
838,338,223,"p068",7
839,339,223,"p010",7
840,340,223,"p035",7
841,341,186,"p029",7
842,342,186,"p024",5
843,343,186,"p045",6
844,344,186,"p062",4
845,345,186,"p010",7
846,346,113,"p029",5
847,347,113,"p024",7
848,348,113,"p062",1
849,349,113,"p036",2
850,350,113,"p068",7
851,351,116,"p029",5
852,352,116,"p024",7
853,353,116,"p010",7
854,354,116,"p010",7
855,355,116,"p024",7
856,356,44,"p068",6
857,357,44,"p035",7
858,358,44,"p068",3
859,359,44,"p029",1
860,360,44,"p031",7
861,361,163,"p022",7
862,362,163,"p016",3
863,363,163,"p010",7
864,364,163,"p062",1
865,365,163,"p068",6
866,366,80,"p024",7
867,367,80,"p019",5
868,368,80,"p073",7
869,369,80,"p062",1
870,370,80,"p068",5
871,371,367,"p022",1
872,372,367,"p016",6
873,373,367,"p062",6
874,374,367,"p062",6
875,375,367,"p068",7
876,376,91,"p028",6
877,377,91,"p068",7
878,378,91,"p022",7
879,379,91,"p022",7
880,380,91,"p039",7
881,381,23,"p068",6
882,382,23,"p022",7
883,383,23,"p054",6
884,384,23,"p035",6
885,385,23,"p010",7
886,386,66,"p029",6
887,387,66,"p016",6
888,388,66,"p054",4
889,389,66,"p010",7
890,390,66,"p068",6
891,391,270,"p029",6
892,392,270,"p068",7
893,393,270,"p024",7
894,394,270,"p030",5
895,395,270,"p010",7
896,396,368,"p039",5
897,397,368,"p024",7
898,398,368,"p016",6
899,399,368,"p035",7
900,400,368,"p019",6
901,401,92,"p008",7
902,402,92,"p010",6
903,403,92,"p016",6
904,404,92,"p073",7
905,405,92,"p022",7
906,406,331,"p035",7
907,407,331,"p073",7
908,408,331,"p010",7
909,409,331,"p030",6
910,410,331,"p039",1
911,411,112,"p022",7
912,412,112,"p019",7
913,413,112,"p064",7
914,414,112,"p009",7
915,415,112,"p022",7
916,416,301,"p029",7
917,417,301,"p016",3
918,418,301,"p068",7
919,419,301,"p024",7
920,420,301,"p068",7
921,421,133,"p029",6
922,422,133,"p062",6
923,423,133,"p019",7
924,424,133,"p010",6
925,425,133,"p010",7
926,426,397,"p022",1
927,427,397,"p016",5
928,428,397,"p024",7
929,429,397,"p073",7
930,430,397,"p029",6
931,431,13,"p030",6
932,432,13,"p022",7
933,433,13,"p020",7
934,434,13,"p063",1
935,435,13,"p054",3
936,436,308,"p067",4
937,437,308,"p068",7
938,438,308,"p024",7
939,439,308,"p063",1
940,440,308,"p068",5
941,441,7,"p022",5
942,442,7,"p029",6
943,443,7,"p035",7
944,444,7,"p068",6
945,445,7,"p019",5
946,446,11,"p016",6
947,447,11,"p039",7
948,448,11,"p024",7
949,449,11,"p035",5
950,450,11,"p068",6
951,451,182,"p019",5
952,452,182,"p062",2
953,453,182,"p068",6
954,454,182,"p029",7
955,455,182,"p019",6
956,456,371,"p019",5
957,457,371,"p039",7
958,458,371,"p029",6
959,459,371,"p036",7
960,460,371,"p024",7
961,461,18,"p068",5
962,462,18,"p019",6
963,463,18,"p024",7
964,464,18,"p039",7
965,465,18,"p064",7
966,466,326,"p039",7
967,467,326,"p035",1
968,468,326,"p022",7
969,469,326,"p068",7
970,470,326,"p010",1
971,471,297,"p022",7
972,472,297,"p026",6
973,473,297,"p069",7
974,474,297,"p030",6
975,475,297,"p062",5
976,476,53,"p068",6
977,477,53,"p064",7
978,478,53,"p019",7
979,479,53,"p030",5
980,480,53,"p035",7
981,481,292,"p068",7
982,482,292,"p031",7
983,483,292,"p062",7
984,484,292,"p019",5
985,485,292,"p022",7
986,486,395,"p068",7
987,487,395,"p035",7
988,488,395,"p030",5
989,489,395,"p068",7
990,490,395,"p022",7
991,491,218,"p030",5
992,492,218,"p025",7
993,493,218,"p009",7
994,494,218,"p068",7
995,495,218,"p035",7
996,496,103,"p020",7
997,497,103,"p019",5
998,498,103,"p054",6
999,499,103,"p068",7
1000,500,103,"p035",5
